history_id,previous_role,new_role,promotion_date,termination_date,employee_id
1,Assistant Store Manager,Deli Associate,2026-05-25,2027-02-13,31
2,Produce Associate,Front Service Clerk,2025-09-14,2026-08-31,70
3,Bakery Associate,Bakery Associate,2026-02-11,2027-02-11,61
4,Pharmacy Technician,Grocery Stock Clerk,2025-10-21,2026-08-18,25
5,Meat & Seafood Associate,Grocery Stock Clerk,2026-03-22,2026-10-12,46
6,Produce Associate,Cake Decorator,2025-04-19,2026-01-29,94
7,Meat & Seafood Associate,Meat & Seafood Associate,2026-05-02,2027-04-19,13
8,Pharmacist,Bagger,2026-04-25,2027-02-02,14
9,Front Service Clerk,Deli Associate,2025-10-15,2026-06-01,58
10,Customer Service Manager,Cashier,2026-02-03,2026-11-18,60
11,Produce Associate,Pharmacy Technician,2025-10-14,2026-05-01,71
12,Meat & Seafood Associate,Deli Associate,2026-03-18,2026-09-26,2
13,Customer Service Manager,Grocery Stock Clerk,2026-03-23,2026-11-18,63
14,Cake Decorator,Grocery Stock Clerk,2025-02-19,2025-10-11,8
15,Store Manager,Grocery Stock Clerk,2026-01-09,2026-10-13,34
16,Grocery Stock Clerk,Pharmacist,2025-03-18,2025-11-26,94
17,Pharmacist,Produce Associate,2024-12-04,2025-11-18,20
18,Front Service Clerk,Store Manager,2025-12-14,2026-08-26,75
19,Pharmacist,Bagger,2024-12-18,2025-07-01,8
20,Produce Associate,Deli Associate,2026-05-06,2027-03-31,68
21,Deli Associate,Assistant Store Manager,2026-01-16,2026-07-29,24
22,Assistant Store Manager,Meat & Seafood Associate,2026-04-17,2027-03-15,31
23,Bakery Associate,Front Service Clerk,2025-05-09,2025-12-05,75
24,Bakery Associate,Assistant Store Manager,2024-10-26,2025-05-04,54
25,Bakery Associate,Deli Associate,2024-08-22,2025-07-17,41
26,Meat & Seafood Associate,Pharmacist,2025-10-02,2026-05-22,41
27,Grocery Stock Clerk,Customer Service Manager,2025-10-25,2026-06-29,86
28,Produce Associate,Bagger,2024-09-04,2025-05-18,97
29,Produce Associate,Bakery Associate,2026-04-13,2026-10-12,73
30,Deli Associate,Front Service Clerk,2026-03-16,2026-09-30,65
31,Bagger,Assistant Store Manager,2025-09-28,2026-04-29,32
