inventory_id,quantity_on_hand,last_updated,store_id,product_id
1,62,2026-07-14,1,10
2,120,2026-07-12,1,52
3,81,2026-07-13,1,37
4,83,2026-07-25,1,20
5,30,2026-07-20,1,6
6,59,2026-07-18,1,16
7,25,2026-07-21,1,8
8,66,2026-07-21,1,36
9,146,2026-07-24,1,49
10,45,2026-07-26,1,27
11,77,2026-07-12,2,27
12,23,2026-07-19,2,29
13,72,2026-07-20,2,45
14,113,2026-07-23,2,39
15,144,2026-07-19,2,31
16,43,2026-07-18,2,19
17,41,2026-07-24,2,3
18,20,2026-07-21,2,15
19,83,2026-07-17,2,55
20,117,2026-07-23,2,46
21,25,2026-07-25,3,30
22,115,2026-07-16,3,45
23,69,2026-07-26,3,20
24,28,2026-07-19,3,59
25,10,2026-07-18,3,26
26,15,2026-07-21,3,18
27,125,2026-07-12,3,33
28,76,2026-07-21,3,35
29,116,2026-07-11,3,32
30,28,2026-07-11,3,29
31,131,2026-07-17,4,23
32,107,2026-07-25,4,27
33,121,2026-07-24,4,22
34,85,2026-07-18,4,21
35,87,2026-07-23,4,43
36,108,2026-07-26,4,7
37,143,2026-07-12,4,11
38,110,2026-07-25,4,58
39,53,2026-07-15,4,59
40,132,2026-07-12,4,45
41,36,2026-07-26,5,49
42,66,2026-07-21,5,4
43,84,2026-07-26,5,14
44,146,2026-07-13,5,18
45,28,2026-07-19,5,36
46,34,2026-07-12,5,9
47,35,2026-07-22,5,19
48,132,2026-07-17,5,29
49,135,2026-07-18,5,45
50,111,2026-07-11,5,32
51,39,2026-07-24,6,31
52,75,2026-07-13,6,16
53,92,2026-07-18,6,30
54,5,2026-07-17,6,36
55,81,2026-07-11,6,10
56,43,2026-07-12,6,25
57,142,2026-07-11,6,13
58,93,2026-07-16,6,39
59,146,2026-07-14,6,33
60,121,2026-07-16,6,48
61,86,2026-07-11,7,56
62,102,2026-07-14,7,13
63,43,2026-07-11,7,45
64,14,2026-07-22,7,16
65,133,2026-07-16,7,37
66,30,2026-07-12,7,25
67,30,2026-07-12,7,15
68,8,2026-07-22,7,50
69,109,2026-07-22,7,27
70,24,2026-07-11,7,3
71,141,2026-07-14,8,51
72,86,2026-07-11,8,17
73,143,2026-07-25,8,22
74,22,2026-07-19,8,40
75,78,2026-07-19,8,45
76,28,2026-07-13,8,26
77,30,2026-07-23,8,42
78,118,2026-07-21,8,6
79,81,2026-07-26,8,58
80,16,2026-07-16,8,44
81,149,2026-07-21,9,51
82,48,2026-07-21,9,4
83,25,2026-07-14,9,19
84,66,2026-07-11,9,23
85,41,2026-07-19,9,24
86,123,2026-07-18,9,28
87,122,2026-07-18,9,10
88,7,2026-07-12,9,16
89,78,2026-07-21,9,34
90,23,2026-07-12,9,27
91,103,2026-07-11,10,23
92,32,2026-07-19,10,38
93,102,2026-07-15,10,20
94,80,2026-07-17,10,41
95,10,2026-07-14,10,28
96,75,2026-07-26,10,45
97,149,2026-07-25,10,17
98,132,2026-07-17,10,30
99,63,2026-07-15,10,58
100,61,2026-07-20,10,13
