product_id,product_name,category,unit_price,reorder_level,supplier_id
1,Bananas,Produce,6.47,20,11
2,Gala Apples,Produce,19.39,25,9
3,Roma Tomatoes,Produce,19.17,25,9
4,Baby Carrots,Produce,21.12,25,1
5,Russet Potatoes,Produce,19.1,10,12
6,Yellow Onions,Produce,6.77,10,2
7,Avocados,Produce,19.22,15,7
8,Strawberries,Produce,21.22,50,5
9,Blueberries,Produce,7.11,25,4
10,Broccoli Crowns,Produce,14.75,15,15
11,Iceberg Lettuce,Produce,17.94,20,6
12,Limes,Produce,15.74,10,6
13,Whole Milk Gallon,Dairy,24.17,10,19
14,2% Milk Half Gallon,Dairy,2.1,20,19
15,Large Grade A Eggs (Dozen),Dairy,17.42,25,13
16,Salted Butter,Dairy,23.62,15,3
17,Shredded Mozzarella Cheese,Dairy,15.41,15,4
18,Greek Yogurt (32oz),Dairy,17.88,20,20
19,Heavy Whipping Cream,Dairy,20.43,50,2
20,American Cheese Slices,Dairy,9.66,25,12
21,Boneless Chicken Breast,Meat & Seafood,3.12,20,1
22,80/20 Ground Beef,Meat & Seafood,21.47,25,4
23,Applewood Smoked Bacon,Meat & Seafood,11.69,20,15
24,Atlantic Salmon Fillet,Meat & Seafood,18.12,25,6
25,Rotisserie Chicken,Meat & Seafood,18.74,20,20
26,Pork Tenderloin,Meat & Seafood,20.49,50,16
27,Jumbo Shrimp,Meat & Seafood,12.42,50,9
28,Italian Sausage Links,Meat & Seafood,9.07,15,3
29,French Bread,Bakery,8.05,25,8
30,Cuban Bread Loaf,Bakery,19.14,50,20
31,Chocolate Chip Cookies (12ct),Bakery,17.2,20,1
32,Key Lime Pie,Bakery,13.12,20,6
33,Cuban Sandwich,Bakery,12.96,20,9
34,Dozen Glazed Donuts,Bakery,9.5,50,9
35,Sourdough Boule,Bakery,14.56,50,7
36,Birthday Cake,Bakery,3.51,25,16
37,Frozen Mixed Vegetables,Frozen,14.55,15,16
38,Vanilla Ice Cream,Frozen,16.68,25,15
39,Frozen Pepperoni Pizza,Frozen,20.13,10,10
40,Frozen Waffles,Frozen,6.71,15,10
41,Frozen Chicken Tenders,Frozen,17.1,20,16
42,Frozen Shrimp Bag,Frozen,14.51,20,14
43,Pasta 16oz,Pantry,24.92,50,11
44,Marinara Sauce Jar,Pantry,9.77,25,9
45,Jasmine Rice 2lb,Pantry,8.71,15,4
46,Extra Virgin Olive Oil,Pantry,18.45,20,4
47,Creamy Peanut Butter,Pantry,18.96,15,7
48,Canned Black Beans,Pantry,6.59,25,9
49,All-Purpose Flour 5lb,Pantry,18.53,50,20
50,Orange Juice 59oz,Beverages,8.15,10,7
51,Bottled Spring Water (24pk),Beverages,8.46,20,6
52,Ground Coffee 12oz,Beverages,8.6,50,5
53,Sweet Tea Gallon,Beverages,7.95,10,18
54,Sparkling Water (8pk),Beverages,8.37,15,16
55,Cola 12-pack Cans,Beverages,3.91,10,19
56,Paper Towels (6 Rolls),Household,8.18,25,15
57,Bath Tissue (12 Rolls),Household,9.51,10,9
58,Laundry Detergent,Household,23.61,25,4
59,Dish Soap,Household,20.82,25,16
60,Trash Bags (30ct),Household,3.24,10,5
