po_id,order_date,status,supplier_id,store_id
1,2026-04-28,Pending,8,3
2,2026-07-24,Cancelled,6,6
3,2026-05-20,Received,3,5
4,2026-06-15,Pending,5,5
5,2026-04-28,Cancelled,15,5
6,2026-05-04,Pending,7,6
7,2026-05-01,Ordered,14,1
8,2026-07-20,Pending,6,9
9,2026-06-25,Pending,13,2
10,2026-04-29,Ordered,10,7
11,2026-05-07,Cancelled,9,6
12,2026-07-11,Cancelled,3,9
13,2026-05-14,Cancelled,19,5
14,2026-05-26,Cancelled,13,5
15,2026-05-19,Ordered,3,7
16,2026-05-20,Cancelled,18,2
17,2026-05-11,Ordered,6,1
18,2026-06-30,Ordered,19,2
19,2026-06-10,Ordered,10,7
20,2026-05-21,Received,2,9
21,2026-05-10,Ordered,12,2
22,2026-07-08,Received,7,4
23,2026-06-21,Ordered,12,10
24,2026-06-05,Cancelled,6,2
25,2026-05-07,Received,3,4
26,2026-06-08,Pending,14,10
27,2026-05-19,Pending,4,9
28,2026-06-22,Ordered,11,4
29,2026-07-13,Pending,13,3
30,2026-06-12,Received,17,9
31,2026-06-07,Ordered,11,6
32,2026-07-07,Ordered,17,3
33,2026-05-01,Cancelled,8,8
34,2026-05-23,Received,15,5
35,2026-06-16,Pending,14,2
36,2026-05-14,Pending,6,2
37,2026-07-09,Cancelled,17,8
38,2026-07-02,Pending,20,7
39,2026-05-10,Cancelled,2,3
40,2026-07-09,Received,12,1
41,2026-06-13,Ordered,4,9
42,2026-06-19,Received,16,4
43,2026-06-06,Ordered,19,5
44,2026-07-19,Received,16,1
45,2026-06-12,Ordered,1,7
46,2026-07-16,Ordered,7,7
47,2026-05-03,Received,5,4
48,2026-07-03,Received,14,2
49,2026-06-11,Cancelled,5,1
50,2026-07-21,Ordered,10,7
51,2026-05-02,Received,16,2
52,2026-06-05,Cancelled,11,3
53,2026-07-07,Received,5,9
54,2026-05-01,Received,2,7
55,2026-06-20,Cancelled,10,2
56,2026-06-21,Pending,8,5
57,2026-04-27,Pending,16,9
58,2026-06-27,Pending,5,3
59,2026-07-24,Ordered,14,2
60,2026-06-17,Ordered,17,4
61,2026-06-02,Pending,17,5
62,2026-06-03,Ordered,12,6
63,2026-07-20,Received,1,4
64,2026-07-03,Received,14,8
65,2026-07-14,Pending,4,9
66,2026-05-12,Received,12,4
67,2026-05-07,Pending,5,1
68,2026-07-17,Received,4,5
69,2026-07-02,Cancelled,5,9
70,2026-06-01,Pending,4,8
71,2026-06-21,Ordered,20,5
72,2026-05-24,Pending,13,3
73,2026-06-05,Received,13,4
74,2026-06-29,Pending,19,9
75,2026-04-27,Received,10,9
76,2026-05-19,Ordered,2,5
77,2026-06-22,Pending,5,4
78,2026-05-04,Received,1,10
79,2026-06-04,Received,5,6
80,2026-06-28,Received,12,3
81,2026-05-17,Ordered,20,8
82,2026-05-13,Cancelled,7,3
83,2026-05-26,Pending,5,8
84,2026-07-02,Cancelled,6,3
85,2026-04-30,Ordered,13,2
86,2026-05-29,Cancelled,8,2
87,2026-06-08,Cancelled,4,1
88,2026-06-25,Pending,5,5
89,2026-07-25,Pending,1,9
90,2026-05-15,Cancelled,16,3
91,2026-05-18,Received,2,9
92,2026-05-18,Received,4,2
93,2026-06-02,Cancelled,8,3
94,2026-04-30,Pending,13,8
95,2026-06-20,Received,4,2
96,2026-07-07,Ordered,20,7
97,2026-05-08,Received,10,6
98,2026-06-23,Pending,12,1
99,2026-06-07,Cancelled,5,8
100,2026-06-21,Ordered,14,2
