po_item_id,quantity_ordered,unit_cost,po_id,product_id
1,76,12.26,1,19
2,49,4.83,2,29
3,72,14.5,3,13
4,58,2.35,3,55
5,68,11.63,4,2
6,87,7.45,4,27
7,68,14.95,5,43
8,38,10.87,6,24
9,51,4.91,7,56
10,88,5.86,8,44
11,44,11.63,8,2
12,44,4.06,9,6
13,58,1.26,10,14
14,70,12.67,11,4
15,50,10.32,11,31
16,59,4.77,12,53
17,60,5.71,13,57
18,38,8.74,14,35
19,62,12.67,15,4
20,82,4.83,16,29
21,89,2.11,17,36
22,26,12.29,18,26
23,39,10.32,19,31
24,98,10.32,20,31
25,90,5.02,21,54
26,22,8.71,22,42
27,50,11.53,23,7
28,67,4.89,24,50
29,71,11.53,24,7
30,24,8.85,25,10
31,31,10.01,25,38
32,21,10.45,26,15
33,87,5.08,27,51
34,25,10.76,27,11
35,55,4.83,28,29
36,46,4.77,29,53
37,92,14.5,30,13
38,69,2.35,30,55
39,26,4.77,31,53
40,96,11.07,32,46
41,70,14.17,32,58
42,90,3.88,33,1
43,68,14.95,33,43
44,29,8.71,34,42
45,60,5.44,35,28
46,54,5.8,36,20
47,33,11.46,36,5
48,33,1.94,37,60
49,23,5.16,37,52
50,57,5.44,38,28
51,72,14.17,38,16
52,41,10.45,39,15
53,41,12.73,40,8
54,75,1.94,40,60
55,52,5.86,41,44
56,33,4.83,42,29
57,62,1.94,43,60
58,76,5.16,43,52
59,60,3.88,44,1
60,42,14.95,44,43
61,68,10.45,45,15
62,90,7.45,46,27
63,72,10.32,47,31
64,83,12.67,47,4
65,74,1.94,48,60
66,68,12.73,48,8
67,66,5.44,49,28
68,88,14.17,49,16
69,41,11.48,50,30
70,32,10.73,51,18
71,53,11.12,51,49
72,79,4.83,52,29
73,33,1.26,53,14
74,59,4.03,54,40
75,32,14.95,55,43
76,76,3.88,55,1
77,22,8.85,56,10
78,90,3.88,57,1
79,100,7.87,58,32
80,45,5.08,59,51
81,46,7.01,60,23
82,66,7.45,61,27
83,96,14.95,62,43
84,69,3.88,62,1
85,42,11.12,63,49
86,58,11.48,63,30
87,59,10.73,64,18
88,34,11.12,64,49
89,93,7.87,65,32
90,69,9.44,65,12
91,82,8.71,66,42
92,21,12.08,67,39
93,82,4.03,67,40
94,73,5.16,68,52
95,76,1.94,68,60
96,57,2.11,69,36
97,92,4.06,70,6
98,83,12.26,70,19
99,89,4.77,71,53
100,33,5.8,72,20
101,31,4.83,73,29
102,98,4.91,74,56
103,37,8.85,74,10
104,88,11.38,75,47
105,41,4.89,75,50
106,72,3.88,76,1
107,27,14.95,76,43
108,61,7.45,77,27
109,100,4.83,78,29
110,85,8.71,79,42
111,20,5.86,80,44
112,31,5.7,80,34
113,47,7.01,81,23
114,83,4.91,81,56
115,63,5.71,82,57
116,40,4.06,83,6
117,58,7.01,84,23
118,41,10.76,85,11
119,26,10.87,85,24
120,32,10.45,86,15
121,48,10.32,87,31
122,74,3.88,88,1
123,33,12.73,89,8
124,60,1.94,89,60
125,28,11.46,90,5
126,64,8.71,91,42
127,32,8.74,92,35
128,37,11.53,92,7
129,51,12.88,93,22
130,55,9.25,93,17
131,70,14.17,94,16
132,57,5.44,94,28
133,83,4.06,95,6
134,92,11.24,96,25
135,73,11.12,96,49
136,95,11.46,97,5
137,70,14.17,98,16
138,88,5.23,99,45
139,30,4.77,100,53
