transaction_id,transaction_date,total_amount,store_id,employee_id,customer_id
1,2026-02-18,1116.72,1,39,
2,2026-06-27,821.67,9,33,15
3,2026-02-07,878.54,2,84,99
4,2026-03-07,1754.06,4,97,45
5,2026-04-07,975.57,7,40,29
6,2026-05-02,1690.26,7,66,47
7,2026-05-08,1223.99,7,12,
8,2026-05-31,1238.87,1,46,83
9,2026-06-12,1789.8,5,32,
10,2026-07-20,1545.24,10,54,4
11,2026-03-21,1627.09,7,48,44
12,2026-03-06,1273.02,9,46,93
13,2026-02-02,1532.74,4,15,94
14,2026-03-31,1728.81,1,96,10
15,2026-07-15,1303.32,5,8,76
16,2026-06-12,1712.82,6,30,32
17,2026-03-21,1422.0,9,6,89
18,2026-03-03,1400.2,6,71,77
19,2026-05-04,1509.08,5,89,53
20,2026-02-04,1454.05,9,23,43
21,2026-03-05,1426.19,4,50,
22,2026-03-19,1712.79,8,63,1
23,2026-07-03,1427.44,2,76,45
24,2026-04-08,1197.54,4,8,56
25,2026-06-27,1239.62,5,42,59
26,2026-07-24,1305.67,2,69,99
27,2026-06-03,1340.4,7,71,12
28,2026-05-16,1188.0,1,19,19
29,2026-06-28,1423.5,6,34,
30,2026-07-08,1355.86,5,29,73
31,2026-07-11,968.6,2,73,37
32,2026-03-11,1363.13,1,31,77
33,2026-04-03,1069.76,9,98,8
34,2026-02-23,1500.4,1,1,27
35,2026-06-13,1369.46,7,14,80
36,2026-06-26,1159.09,7,89,
37,2026-04-10,1605.53,4,59,99
38,2026-02-18,1727.43,3,7,26
39,2026-05-19,1617.38,7,15,70
40,2026-05-15,774.98,7,87,1
41,2026-02-12,1744.76,8,58,40
42,2026-03-24,1566.15,8,62,
43,2026-07-25,1553.09,6,6,55
44,2026-05-29,1586.32,1,21,36
45,2026-04-15,1543.79,8,95,95
46,2026-05-26,1296.44,6,52,24
47,2026-03-02,1103.26,3,22,44
48,2026-04-10,1782.15,8,69,63
49,2026-03-26,1036.25,6,60,5
50,2026-05-03,966.31,6,99,21
51,2026-03-21,934.61,9,50,88
52,2026-03-21,1756.7,4,28,
53,2026-07-21,1838.95,6,25,77
54,2026-02-09,840.89,7,85,85
55,2026-04-25,1025.1,8,70,84
56,2026-06-21,1557.15,4,67,95
57,2026-07-16,1526.5,10,77,71
58,2026-05-16,1594.62,2,88,51
59,2026-03-03,1334.54,2,67,96
60,2026-05-08,824.04,5,43,92
61,2026-02-05,1914.16,6,12,79
62,2026-03-18,1364.48,3,94,97
63,2026-05-16,1313.84,3,27,45
64,2026-07-13,1281.32,6,8,34
65,2026-06-11,1320.64,10,31,9
66,2026-03-10,1421.63,3,82,58
67,2026-04-12,1081.54,4,13,53
68,2026-06-05,1369.89,6,38,12
69,2026-07-22,1446.23,7,23,10
70,2026-06-29,1065.44,8,34,27
71,2026-03-05,1877.47,5,54,60
72,2026-03-03,1560.87,3,3,40
73,2026-01-31,968.23,2,24,49
74,2026-04-09,1059.54,8,86,52
75,2026-03-24,1591.04,7,13,46
76,2026-04-12,1396.74,5,80,86
77,2026-03-08,1068.95,1,93,3
78,2026-07-12,1049.95,1,83,
79,2026-02-21,979.08,3,81,83
80,2026-06-22,827.45,1,92,99
81,2026-04-01,1700.59,3,72,
82,2026-02-08,1605.84,5,83,84
83,2026-06-17,989.06,8,85,33
84,2026-04-27,1218.3,1,15,20
85,2026-01-28,1625.56,4,27,3
86,2026-04-26,1044.43,4,20,68
87,2026-04-10,1636.81,7,53,8
88,2026-04-09,954.74,3,95,16
89,2026-03-08,1104.27,5,19,99
90,2026-07-04,1025.42,8,80,22
91,2026-07-26,908.03,8,87,49
92,2026-02-23,1221.24,1,51,11
93,2026-03-02,1743.75,5,78,48
94,2026-07-24,1282.12,6,27,31
95,2026-04-23,2118.0,6,11,65
96,2026-03-17,1765.39,8,14,58
97,2026-02-13,1376.71,7,79,23
98,2026-04-11,1305.64,3,22,78
99,2026-07-01,941.4,2,46,2
100,2026-04-15,1479.23,4,7,19
