transaction_item_id,quantity,unit_price,line_total,transaction_id,product_id
1,2,9.77,19.54,1,44
2,1,18.53,18.53,1,49
3,1,18.96,18.96,2,47
4,3,7.11,21.33,2,9
5,3,9.51,28.53,3,57
6,2,18.12,36.24,3,24
7,3,9.5,28.5,3,34
8,2,19.1,38.2,4,5
9,4,14.75,59.0,4,10
10,4,14.56,58.24,5,35
11,3,21.22,63.66,5,8
12,2,9.77,19.54,6,44
13,4,17.42,69.68,7,15
14,3,14.51,43.53,7,42
15,4,19.1,76.4,7,5
16,2,21.22,42.44,8,8
17,2,19.22,38.44,8,7
18,2,12.42,24.84,9,27
19,4,16.68,66.72,9,38
20,1,6.59,6.59,9,48
21,4,18.12,72.48,10,24
22,2,2.1,4.2,10,14
23,3,8.05,24.15,10,29
24,3,20.49,61.47,11,26
25,2,24.92,49.84,12,43
26,2,8.46,16.92,13,51
27,2,21.47,42.94,14,22
28,1,15.41,15.41,15,17
29,1,8.6,8.6,15,52
30,2,15.74,31.48,15,12
31,3,19.39,58.17,16,2
32,1,15.74,15.74,16,12
33,3,8.05,24.15,17,29
34,1,8.15,8.15,17,50
35,3,8.46,25.38,18,51
36,4,20.82,83.28,18,59
37,1,8.18,8.18,18,56
38,4,13.12,52.48,19,32
39,3,17.88,53.64,20,18
40,1,9.07,9.07,21,28
41,2,19.22,38.44,21,7
42,4,8.46,33.84,21,51
43,3,18.96,56.88,22,47
44,4,19.22,76.88,22,7
45,1,19.1,19.1,23,5
46,1,6.77,6.77,23,6
47,3,21.12,63.36,24,4
48,1,16.68,16.68,24,38
49,4,3.51,14.04,24,36
50,3,21.12,63.36,25,4
51,3,20.43,61.29,25,19
52,1,20.13,20.13,25,39
53,1,3.91,3.91,26,55
54,1,17.42,17.42,27,15
55,3,8.6,25.8,27,52
56,1,9.07,9.07,27,28
57,2,6.47,12.94,28,1
58,4,15.74,62.96,28,12
59,4,9.5,38.0,29,34
60,4,2.1,8.4,29,14
61,3,18.74,56.22,29,25
62,2,6.77,13.54,30,6
63,2,9.51,19.02,30,57
64,1,21.12,21.12,30,4
65,2,8.05,16.1,31,29
66,1,12.42,12.42,31,27
67,3,17.88,53.64,31,18
68,3,9.5,28.5,32,34
69,1,24.92,24.92,32,43
70,3,2.1,6.3,33,14
71,4,21.22,84.88,34,8
72,4,6.47,25.88,34,1
73,3,3.51,10.53,35,36
74,1,8.37,8.37,35,54
75,4,24.92,99.68,35,43
76,4,9.07,36.28,36,28
77,3,14.55,43.65,36,37
78,1,20.49,20.49,36,26
79,3,19.14,57.42,37,30
80,1,8.37,8.37,37,54
81,4,8.71,34.84,37,45
82,3,20.49,61.47,38,26
83,2,17.1,34.2,39,41
84,3,21.22,63.66,39,8
85,3,9.5,28.5,39,34
86,2,20.13,40.26,40,39
87,4,19.14,76.56,41,30
88,3,18.53,55.59,41,49
89,1,9.66,9.66,42,20
90,3,8.46,25.38,42,51
91,1,17.88,17.88,42,18
92,1,19.1,19.1,43,5
93,4,14.51,58.04,43,42
94,2,20.82,41.64,44,59
95,3,8.6,25.8,44,52
96,3,8.6,25.8,45,52
97,2,8.05,16.1,46,29
98,3,9.5,28.5,46,34
99,3,6.71,20.13,46,40
100,3,21.12,63.36,47,4
101,1,8.46,8.46,47,51
102,3,17.1,51.3,47,41
103,2,3.91,7.82,48,55
104,3,24.92,74.76,48,43
105,1,20.82,20.82,48,59
106,2,8.71,17.42,49,45
107,1,24.92,24.92,49,43
108,3,20.49,61.47,49,26
109,1,8.71,8.71,50,45
110,4,8.37,33.48,50,54
111,3,6.59,19.77,50,48
112,2,24.17,48.34,51,13
113,2,17.42,34.84,51,15
114,1,8.37,8.37,52,54
115,3,6.59,19.77,52,48
116,2,9.51,19.02,52,57
117,4,8.6,34.4,53,52
118,1,23.61,23.61,53,58
119,4,17.94,71.76,53,11
120,4,18.53,74.12,54,49
121,2,6.59,13.18,54,48
122,4,9.77,39.08,55,44
123,4,14.55,58.2,55,37
124,2,7.95,15.9,56,53
125,1,17.2,17.2,57,31
126,1,8.18,8.18,57,56
127,3,18.12,54.36,57,24
128,4,8.37,33.48,58,54
129,3,21.12,63.36,59,4
130,2,20.49,40.98,59,26
131,3,8.37,25.11,60,54
132,4,18.53,74.12,61,49
133,2,2.1,4.2,62,14
134,4,8.37,33.48,62,54
135,4,23.62,94.48,63,16
136,2,19.39,38.78,64,2
137,2,17.1,34.2,64,41
138,3,12.96,38.88,64,33
139,1,15.74,15.74,65,12
140,3,24.92,74.76,65,43
141,4,18.74,74.96,66,25
142,1,19.39,19.39,67,2
143,3,11.69,35.07,67,23
144,2,8.46,16.92,67,51
145,3,19.17,57.51,68,3
146,2,8.71,17.42,69,45
147,2,17.2,34.4,69,31
148,2,24.17,48.34,70,13
149,1,19.17,19.17,70,3
150,2,19.17,38.34,71,3
151,3,18.53,55.59,71,49
152,3,21.22,63.66,72,8
153,4,8.6,34.4,72,52
154,4,13.12,52.48,73,32
155,2,9.07,18.14,74,28
156,4,20.43,81.72,75,19
157,2,9.66,19.32,75,20
158,4,8.05,32.2,75,29
159,1,17.88,17.88,76,18
160,1,17.1,17.1,76,41
161,2,19.39,38.78,77,2
162,3,23.62,70.86,78,16
163,3,14.75,44.25,79,10
164,3,9.77,29.31,79,44
165,4,8.05,32.2,79,29
166,2,14.51,29.02,80,42
167,1,17.88,17.88,80,18
168,3,21.22,63.66,81,8
169,4,15.41,61.64,81,17
170,2,8.15,16.3,81,50
171,1,7.11,7.11,82,9
172,3,8.6,25.8,83,52
173,2,3.91,7.82,84,55
174,3,17.94,53.82,84,11
175,4,8.46,33.84,85,51
176,1,7.11,7.11,86,9
177,1,6.71,6.71,86,40
178,3,9.51,28.53,86,57
179,1,7.95,7.95,87,53
180,2,14.55,29.1,87,37
181,2,11.69,23.38,88,23
182,2,7.11,14.22,88,9
183,4,9.51,38.04,88,57
184,2,17.94,35.88,89,11
185,3,3.12,9.36,89,21
186,3,3.51,10.53,90,36
187,1,17.88,17.88,90,18
188,2,7.11,14.22,90,9
189,1,23.61,23.61,91,58
190,1,20.13,20.13,91,39
191,1,21.47,21.47,91,22
192,4,8.15,32.6,92,50
193,4,14.51,58.04,93,42
194,2,9.66,19.32,93,20
195,4,8.05,32.2,94,29
196,3,8.18,24.54,95,56
197,3,18.45,55.35,95,46
198,2,3.12,6.24,96,21
199,3,21.12,63.36,97,4
200,2,18.96,37.92,98,47
201,4,3.12,12.48,98,21
202,4,24.17,96.68,98,13
203,3,19.14,57.42,99,30
204,1,23.62,23.62,99,16
205,1,2.1,2.1,99,14
206,1,20.43,20.43,100,19
207,1,14.56,14.56,100,35
