return_id,return_date,quantity_returned,refund_amount,transaction_item_id,customer_id
1,2026-07-11,2,37.06,151,45
2,2026-07-17,1,17.88,159,16
3,2026-06-28,4,36.28,76,51
4,2026-06-26,2,34.2,83,99
5,2026-07-17,2,35.88,119,6
6,2026-06-26,2,38.44,41,92
7,2026-07-15,1,6.59,115,57
8,2026-07-03,2,42.44,16,62
9,2026-07-20,1,20.82,105,69
10,2026-06-27,1,17.88,159,72
11,2026-07-22,3,47.22,58,14
12,2026-07-19,1,2.1,205,7
13,2026-07-06,2,37.48,141,30
14,2026-07-23,1,24.92,25,53
15,2026-07-04,3,72.51,202,61
16,2026-07-05,1,20.49,82,99
17,2026-07-26,2,16.1,165,71
18,2026-07-13,2,42.44,71,84
19,2026-07-11,4,32.2,195,84
20,2026-07-02,1,9.66,157,37
21,2026-07-17,3,25.38,42,83
22,2026-06-27,1,8.71,106,99
23,2026-07-06,1,24.92,104,74
24,2026-07-09,2,29.12,10,95
25,2026-06-27,1,8.6,29,23
26,2026-06-28,1,24.92,69,23
27,2026-06-30,1,6.71,99,51
28,2026-07-21,2,17.2,95,96
29,2026-06-28,1,8.18,126,5
30,2026-07-17,1,24.92,107,73
31,2026-07-23,3,28.5,68,43
32,2026-07-12,2,36.24,127,83
33,2026-06-28,1,8.15,34,18
34,2026-07-18,1,20.43,206,25
35,2026-07-16,1,13.12,154,21
36,2026-07-06,2,13.54,62,33
37,2026-07-21,3,6.3,70,2
38,2026-07-16,3,25.8,172,38
39,2026-07-05,3,19.77,111,97
40,2026-07-21,1,17.2,147,79
41,2026-06-30,2,19.02,63,55
42,2026-07-24,3,46.23,169,52
43,2026-07-23,3,43.65,77,24
44,2026-07-11,1,24.92,140,42
45,2026-07-26,1,19.14,203,34
46,2026-07-19,2,13.18,121,58
47,2026-06-26,3,24.15,165,43
48,2026-07-08,2,37.06,151,93
49,2026-07-26,3,35.07,143,34
50,2026-07-04,2,36.24,6,31
51,2026-07-05,1,6.71,99,16
52,2026-07-17,4,12.48,201,21
53,2026-07-05,2,29.5,163,65
54,2026-07-04,2,38.78,161,16
55,2026-07-15,3,55.59,120,79
56,2026-07-19,1,19.17,150,18
57,2026-07-22,2,13.18,121,59
58,2026-07-13,3,62.46,36,90
59,2026-06-27,3,25.11,131,61
60,2026-07-01,3,63.36,129,86
61,2026-07-02,2,16.92,175,32
62,2026-07-02,3,58.17,31,77
63,2026-07-10,1,18.74,141,58
64,2026-07-04,3,28.5,7,47
65,2026-06-27,1,18.45,197,73
66,2026-07-25,1,8.05,23,71
67,2026-07-20,3,21.33,4,74
68,2026-07-21,1,8.05,65,42
69,2026-07-23,1,15.74,32,88
70,2026-07-04,1,11.69,143,75
71,2026-07-24,2,19.0,85,66
72,2026-07-01,2,38.78,161,8
73,2026-07-22,1,21.47,191,66
74,2026-07-12,2,23.38,181,73
75,2026-07-09,1,8.6,153,60
76,2026-07-03,3,52.26,13,3
77,2026-07-18,1,8.6,29,1
78,2026-07-20,3,56.88,43,75
79,2026-07-25,1,9.5,68,55
80,2026-07-04,2,25.92,138,9
81,2026-06-27,1,8.71,109,9
82,2026-07-25,2,16.1,65,37
83,2026-07-21,4,83.28,36,99
84,2026-07-02,1,23.61,189,83
85,2026-07-15,4,84.88,71,49
86,2026-06-29,1,8.37,74,49
87,2026-07-24,1,17.1,160,88
88,2026-07-06,1,19.17,150,45
89,2026-07-21,1,8.37,134,69
90,2026-07-10,2,16.92,144,17
91,2026-07-19,3,54.36,127,1
92,2026-07-17,1,9.07,40,60
93,2026-07-09,1,20.13,52,49
94,2026-07-19,1,9.51,116,59
95,2026-07-22,2,42.24,47,36
96,2026-06-27,2,48.34,202,93
97,2026-07-25,1,6.77,62,85
98,2026-07-07,4,8.4,60,99
99,2026-07-19,1,18.96,43,27
100,2026-07-23,1,8.71,146,77
