store_name,month,total_sales
Super Market at Baldwin Park,2026-02-01 00:00:00+00:00,227.42000000000002
Super Market at Baldwin Park,2026-03-01 00:00:00+00:00,177.66
Super Market at Baldwin Park,2026-04-01 00:00:00+00:00,108.98
Super Market at Baldwin Park,2026-05-01 00:00:00+00:00,353.81
Super Market at Baldwin Park,2026-06-01 00:00:00+00:00,140.89
Super Market at Baldwin Park,2026-07-01 00:00:00+00:00,324.01
Super Market at Baldwin Park Shopping Center,2026-02-01 00:00:00+00:00,207.7
Super Market at Baldwin Park Shopping Center,2026-03-01 00:00:00+00:00,201.86999999999998
Super Market at Baldwin Park Shopping Center,2026-05-01 00:00:00+00:00,279.36
Super Market at Baldwin Park Shopping Center,2026-06-01 00:00:00+00:00,143.25
Super Market at Baldwin Park Shopping Center,2026-07-01 00:00:00+00:00,157.98000000000002
Super Market at Conway Crossing Shopping Center,2026-02-01 00:00:00+00:00,162.94
Super Market at Conway Crossing Shopping Center,2026-04-01 00:00:00+00:00,18.14
Super Market at Conway Crossing Shopping Center,2026-05-01 00:00:00+00:00,222.95999999999998
Super Market at Conway Crossing Shopping Center,2026-06-01 00:00:00+00:00,142.44
Super Market at East Colonial,2026-02-01 00:00:00+00:00,73.91
Super Market at East Colonial,2026-05-01 00:00:00+00:00,188.16000000000003
Super Market at East Colonial,2026-07-01 00:00:00+00:00,228.98000000000002
Super Market at Lake Nona,2026-02-01 00:00:00+00:00,53.42
Super Market at Lake Nona,2026-04-01 00:00:00+00:00,61.47
Super Market at Lake Nona,2026-07-01 00:00:00+00:00,6.3
Super Market at The Villages,2026-04-01 00:00:00+00:00,136.06
Super Market at The Villages,2026-05-01 00:00:00+00:00,64.73
Super Market at The Villages,2026-06-01 00:00:00+00:00,97.28
Super Market at The Villages,2026-07-01 00:00:00+00:00,121.9
Super Market at The Villages Shopping Center,2026-02-01 00:00:00+00:00,71.38
Super Market at The Villages Shopping Center,2026-03-01 00:00:00+00:00,47.16
Super Market at The Villages Shopping Center,2026-04-01 00:00:00+00:00,352.12
Super Market at The Villages Shopping Center,2026-05-01 00:00:00+00:00,103.4
Super Market at The Villages Shopping Center,2026-06-01 00:00:00+00:00,180.05
Super Market at The Villages Shopping Center,2026-07-01 00:00:00+00:00,67.44
Super Market at Waterford Lakes,2026-01-01 00:00:00+00:00,302.04
Super Market at Waterford Lakes,2026-02-01 00:00:00+00:00,172.44
Super Market at Waterford Lakes,2026-03-01 00:00:00+00:00,246.9
Super Market at Waterford Lakes,2026-04-01 00:00:00+00:00,293.29
Super Market at Waterford Lakes,2026-05-01 00:00:00+00:00,332.8
Super Market at Waterford Lakes,2026-06-01 00:00:00+00:00,265.32
Super Market at Waterford Lakes,2026-07-01 00:00:00+00:00,132.01
