store_name,quarter,total_sales
Super Market at Baldwin Park,2026-01-01 00:00:00+00:00,405.08
Super Market at Baldwin Park,2026-04-01 00:00:00+00:00,603.6800000000001
Super Market at Baldwin Park,2026-07-01 00:00:00+00:00,324.01
Super Market at Baldwin Park Shopping Center,2026-01-01 00:00:00+00:00,409.56999999999994
Super Market at Baldwin Park Shopping Center,2026-04-01 00:00:00+00:00,422.61
Super Market at Baldwin Park Shopping Center,2026-07-01 00:00:00+00:00,157.98000000000002
Super Market at Conway Crossing Shopping Center,2026-01-01 00:00:00+00:00,162.94
Super Market at Conway Crossing Shopping Center,2026-04-01 00:00:00+00:00,383.53999999999996
Super Market at East Colonial,2026-01-01 00:00:00+00:00,73.91
Super Market at East Colonial,2026-04-01 00:00:00+00:00,188.16
Super Market at East Colonial,2026-07-01 00:00:00+00:00,228.98000000000002
Super Market at Lake Nona,2026-01-01 00:00:00+00:00,53.42
Super Market at Lake Nona,2026-04-01 00:00:00+00:00,61.47
Super Market at Lake Nona,2026-07-01 00:00:00+00:00,6.3
Super Market at The Villages,2026-04-01 00:00:00+00:00,298.07
Super Market at The Villages,2026-07-01 00:00:00+00:00,121.9
Super Market at The Villages Shopping Center,2026-01-01 00:00:00+00:00,118.53999999999999
Super Market at The Villages Shopping Center,2026-04-01 00:00:00+00:00,635.57
Super Market at The Villages Shopping Center,2026-07-01 00:00:00+00:00,67.44
Super Market at Waterford Lakes,2026-01-01 00:00:00+00:00,721.3799999999999
Super Market at Waterford Lakes,2026-04-01 00:00:00+00:00,891.41
Super Market at Waterford Lakes,2026-07-01 00:00:00+00:00,132.01
