product_name,quantity_on_hand,reorder_level
Strawberries,25,50
Jumbo Shrimp,45,50
French Bread,23,25
Heavy Whipping Cream,43,50
Large Grade A Eggs (Dozen),20,25
Cuban Bread Loaf,25,50
Pork Tenderloin,10,50
Greek Yogurt (32oz),15,20
All-Purpose Flour 5lb,36,50
Heavy Whipping Cream,35,50
Birthday Cake,5,25
Salted Butter,14,15
Orange Juice 59oz,8,10
Roma Tomatoes,24,25
Pork Tenderloin,28,50
Marinara Sauce Jar,16,25
Heavy Whipping Cream,25,50
Salted Butter,7,15
Jumbo Shrimp,23,50
Italian Sausage Links,10,15
