product_name,total_returns,total_refunded
Strawberries,3,169.76
Dish Soap,3,166.56
Gala Apples,3,135.73000000000002
Atlantic Salmon Fillet,3,126.84
Pasta 16oz,5,124.60000000000001
Whole Milk Gallon,2,120.85000000000001
Baby Carrots,2,105.6
French Bread,6,104.65
All-Purpose Flour 5lb,2,92.65
Dozen Glazed Donuts,4,85.5
Creamy Peanut Butter,2,75.84
Applewood Smoked Bacon,3,70.14
Ground Coffee 12oz,5,68.8
Limes,2,62.96
Bottled Spring Water (24pk),3,59.22
Rotisserie Chicken,2,56.22
Canned Black Beans,4,52.72
Large Grade A Eggs (Dozen),1,52.26
Frozen Chicken Tenders,2,51.300000000000004
Shredded Mozzarella Cheese,1,46.23
Italian Sausage Links,2,45.35
Frozen Mixed Vegetables,1,43.65
Sparkling Water (8pk),3,41.849999999999994
Avocados,1,38.44
Roma Tomatoes,2,38.34
Iceberg Lettuce,1,35.88
Greek Yogurt (32oz),2,35.76
Broccoli Crowns,1,29.5
Sourdough Boule,1,29.12
Bath Tissue (12 Rolls),2,28.53
Jasmine Rice 2lb,3,26.130000000000003
Cuban Sandwich,1,25.92
Laundry Detergent,1,23.61
80/20 Ground Beef,1,21.47
Blueberries,1,21.33
Pork Tenderloin,1,20.49
Heavy Whipping Cream,1,20.43
Yellow Onions,2,20.31
Frozen Pepperoni Pizza,1,20.13
Cuban Bread Loaf,1,19.14
Extra Virgin Olive Oil,1,18.45
Chocolate Chip Cookies (12ct),1,17.2
2% Milk Half Gallon,3,16.8
Frozen Waffles,2,13.42
Key Lime Pie,1,13.12
Boneless Chicken Breast,1,12.48
American Cheese Slices,1,9.66
Paper Towels (6 Rolls),1,8.18
Orange Juice 59oz,1,8.15
