company_name,product_name,total_units_sold
Turner Beverage Distributors,French Bread,22
Gutierrez Seafood Imports,Ground Coffee 12oz,21
Wells Wholesale Grocers,Bottled Spring Water (24pk),19
Gutierrez Seafood Imports,Strawberries,18
Barrett Produce Distributors,Sparkling Water (8pk),18
Wong Seafood Imports,Dozen Glazed Donuts,16
Hunt Meat Packing Co.,All-Purpose Flour 5lb,15
Taylor Farms,Pasta 16oz,14
Wong Seafood Imports,Bath Tissue (12 Rolls),14
Chung Produce Distributors,Frozen Shrimp Bag,13
Barrett Produce Distributors,Pork Tenderloin,12
Moore Beverage Distributors,2% Milk Half Gallon,12
Hunt Meat Packing Co.,Cuban Bread Loaf,10
Barrett Produce Distributors,Birthday Cake,10
Hunt Meat Packing Co.,Greek Yogurt (32oz),10
Wong Seafood Imports,Canned Black Beans,9
Wells Wholesale Grocers,Iceberg Lettuce,9
Gonzales Produce Distributors,Jasmine Rice 2lb,9
Barrett Produce Distributors,Frozen Mixed Vegetables,9
Gonzales Produce Distributors,Blueberries,9
Wong Seafood Imports,Marinara Sauce Jar,9
Wells Wholesale Grocers,Atlantic Salmon Fillet,9
Wells Wholesale Grocers,Key Lime Pie,8
Wong Seafood Imports,Gala Apples,8
Bryant Foods,Russet Potatoes,8
Boone Farms,Avocados,8
Hill Dairy Cooperative,Salted Butter,8
Barrett Produce Distributors,Frozen Chicken Tenders,8
Moore Beverage Distributors,Whole Milk Gallon,8
Wells Wholesale Grocers,Limes,8
Hill Dairy Cooperative,Italian Sausage Links,8
White Produce Distributors,Heavy Whipping Cream,8
Boone Farms,Orange Juice 59oz,7
Barrett Produce Distributors,Dish Soap,7
Porter Dairy Cooperative,Broccoli Crowns,7
Li Beverage Distributors,Large Grade A Eggs (Dozen),7
Hunt Meat Packing Co.,Rotisserie Chicken,7
Wong Seafood Imports,Roma Tomatoes,6
Boone Farms,Creamy Peanut Butter,6
Porter Dairy Cooperative,Vanilla Ice Cream,5
Gonzales Produce Distributors,Shredded Mozzarella Cheese,5
Boone Farms,Sourdough Boule,5
Bryant Foods,American Cheese Slices,5
Moore Beverage Distributors,Cola 12-pack Cans,5
Porter Dairy Cooperative,Paper Towels (6 Rolls),5
Porter Dairy Cooperative,Applewood Smoked Bacon,5
Green Seafood Imports,Frozen Waffles,4
Green Seafood Imports,Frozen Pepperoni Pizza,4
Gonzales Produce Distributors,80/20 Ground Beef,3
Gonzales Produce Distributors,Extra Virgin Olive Oil,3
Wong Seafood Imports,Cuban Sandwich,3
Wong Seafood Imports,Jumbo Shrimp,3
White Produce Distributors,Yellow Onions,3
Johnson Bakery Supply,Sweet Tea Gallon,3
Gonzales Produce Distributors,Laundry Detergent,2
