inventory_id,quantity_on_hand,last_updated,store_id,product_id
1,237,2026-06-17,1,1
2,200,2026-06-28,1,2
3,73,2026-06-29,1,3
4,178,2026-06-12,1,4
5,187,2026-06-17,1,5
6,142,2026-06-21,1,6
7,183,2026-06-27,1,7
8,39,2026-07-06,1,8
9,75,2026-07-06,1,9
10,247,2026-07-11,1,10
11,148,2026-06-19,1,11
12,138,2026-07-11,1,12
13,191,2026-07-02,1,13
14,14,2026-07-11,1,14
15,149,2026-06-27,1,15
16,128,2026-06-13,1,16
17,218,2026-06-26,1,17
18,40,2026-07-11,1,18
19,245,2026-06-26,1,19
20,20,2026-06-15,1,20
21,47,2026-07-10,1,21
22,152,2026-07-10,1,22
23,172,2026-06-15,1,23
24,60,2026-06-30,1,24
25,30,2026-06-12,1,25
26,227,2026-06-24,1,26
27,63,2026-06-24,1,27
28,152,2026-07-11,1,28
29,158,2026-07-10,1,29
30,107,2026-06-21,1,30
31,149,2026-06-24,1,31
32,133,2026-07-02,1,32
33,239,2026-07-04,1,33
34,52,2026-06-21,1,34
35,183,2026-07-02,1,35
36,61,2026-07-04,1,36
37,101,2026-07-08,1,37
38,171,2026-06-22,1,38
39,76,2026-06-28,1,39
40,80,2026-06-13,1,40
41,192,2026-06-13,1,41
42,18,2026-07-12,1,42
43,117,2026-06-23,1,43
44,144,2026-07-09,1,44
45,18,2026-06-25,1,45
46,54,2026-06-26,1,46
47,67,2026-07-08,1,47
48,238,2026-07-01,1,48
49,225,2026-07-10,1,49
50,225,2026-07-05,1,50
51,94,2026-07-03,1,51
52,40,2026-06-28,1,52
53,213,2026-06-25,1,53
54,180,2026-07-03,1,54
55,156,2026-06-17,1,55
56,167,2026-06-26,1,56
57,2,2026-06-21,1,57
58,209,2026-06-25,1,58
59,76,2026-06-13,1,59
60,169,2026-07-09,1,60
61,240,2026-06-14,1,61
62,34,2026-07-04,1,62
63,29,2026-06-14,1,63
64,27,2026-06-19,1,64
65,141,2026-07-08,1,65
66,69,2026-07-03,1,66
67,154,2026-07-06,1,67
68,183,2026-07-02,1,68
69,52,2026-06-21,1,69
70,162,2026-06-15,1,70
71,67,2026-06-26,1,71
72,125,2026-07-04,1,72
73,231,2026-06-13,1,73
74,216,2026-07-11,2,1
75,23,2026-06-22,2,2
76,108,2026-06-16,2,3
77,70,2026-07-11,2,4
78,0,2026-07-02,2,5
79,197,2026-07-08,2,6
80,163,2026-07-04,2,7
81,41,2026-06-19,2,8
82,113,2026-06-25,2,9
83,180,2026-06-29,2,10
84,143,2026-07-12,2,11
85,28,2026-07-10,2,12
86,241,2026-06-14,2,13
87,176,2026-06-14,2,14
88,38,2026-06-25,2,15
89,9,2026-06-16,2,16
90,94,2026-06-24,2,17
91,141,2026-07-08,2,18
92,110,2026-07-08,2,19
93,10,2026-07-03,2,20
94,93,2026-06-14,2,21
95,238,2026-06-17,2,22
96,248,2026-06-15,2,23
97,10,2026-06-14,2,24
98,91,2026-07-06,2,25
99,174,2026-07-05,2,26
100,170,2026-07-09,2,27
101,90,2026-06-18,2,28
102,143,2026-06-14,2,29
103,223,2026-06-29,2,30
104,249,2026-06-23,2,31
105,191,2026-07-08,2,32
106,236,2026-06-13,2,33
107,60,2026-06-15,2,34
108,41,2026-06-17,2,35
109,207,2026-07-07,2,36
110,225,2026-06-29,2,37
111,6,2026-07-07,2,38
112,188,2026-06-13,2,39
113,85,2026-06-17,2,40
114,238,2026-06-29,2,41
115,205,2026-06-21,2,42
116,221,2026-06-19,2,43
117,207,2026-07-05,2,44
118,68,2026-07-07,2,45
119,201,2026-06-20,2,46
120,27,2026-06-30,2,47
121,223,2026-07-11,2,48
122,219,2026-06-27,2,49
123,56,2026-07-06,2,50
124,209,2026-06-13,2,51
125,117,2026-07-01,2,52
126,78,2026-06-16,2,53
127,203,2026-06-15,2,54
128,58,2026-07-05,2,55
129,6,2026-06-21,2,56
130,49,2026-06-30,2,57
131,84,2026-07-04,2,58
132,221,2026-07-10,2,59
133,247,2026-06-18,2,60
134,71,2026-07-01,2,61
135,164,2026-06-26,2,62
136,102,2026-06-21,2,63
137,215,2026-06-25,2,64
138,84,2026-06-12,2,65
139,7,2026-07-09,2,66
140,224,2026-07-04,2,67
141,45,2026-06-24,2,68
142,246,2026-07-04,2,69
143,9,2026-07-09,2,70
144,152,2026-06-29,2,71
145,88,2026-06-19,2,72
146,201,2026-07-02,2,73
