po_item_id,quantity_ordered,unit_cost,po_id,product_id
1,227,6.42,1,43
2,259,3.47,1,50
3,293,1.18,1,2
4,221,7.15,1,67
5,33,4.49,1,33
6,214,4.03,2,20
7,29,7.68,3,67
8,46,7.21,3,43
9,199,3.81,3,20
10,55,4.19,3,8
11,40,3.23,3,50
12,258,4.33,4,21
13,208,3.58,4,48
14,78,3.21,4,17
15,103,6.94,4,24
16,174,17.17,5,30
17,81,1.47,5,6
18,41,3.98,5,40
19,239,2.09,5,53
20,55,1.44,5,51
21,194,2.27,5,11
22,235,7.28,5,68
23,287,13.17,6,62
24,158,3.15,6,7
25,295,2.2,6,53
26,214,2.02,7,19
27,273,4.32,7,8
28,113,4.39,7,20
29,201,3.3,7,50
30,194,6.08,7,67
31,161,2.52,7,60
32,249,6.43,8,57
33,67,3.06,8,28
34,227,1.61,8,45
35,176,2.24,8,58
36,208,2.76,8,42
37,291,2.23,8,52
38,189,2.59,8,47
