sale_item_id,quantity,unit_price,line_total,sale_id,product_id
1,1,10.59,10.59,1,25
2,5,9.45,47.25,1,33
3,5,2.14,10.7,1,6
4,2,2.77,5.54,1,56
5,3,3.75,11.25,2,16
6,4,6.77,27.08,2,39
7,3,7.06,21.18,2,65
8,3,6.84,20.52,3,49
9,2,13.21,26.42,3,23
10,4,6.77,27.08,3,39
11,5,4.03,20.15,3,52
12,5,1.57,7.85,3,1
13,3,7.24,21.72,3,71
14,5,13.18,65.9,4,22
15,3,5.01,15.03,4,11
16,1,8.88,8.88,4,37
17,2,6.23,12.46,4,66
18,4,19.9,79.6,5,32
19,1,16.8,16.8,6,64
20,1,4.03,4.03,6,52
21,4,19.9,79.6,6,32
22,2,3.66,7.32,6,19
23,5,7.51,37.55,7,18
24,3,4.08,12.24,7,60
25,4,10.45,41.8,7,68
26,5,10.91,54.55,7,72
27,4,3.06,12.24,8,34
28,2,19.9,39.8,8,32
29,3,23.07,69.21,8,36
30,4,11.39,45.56,8,67
31,2,5.01,10.02,9,11
32,2,7.51,15.02,9,18
33,1,7.36,7.36,9,20
34,4,24.35,97.4,9,30
35,4,4.78,19.12,9,50
36,1,4.78,4.78,10,50
37,3,4.21,12.63,10,3
38,3,6.84,20.52,10,49
39,4,17.81,71.24,10,62
